epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,254.137,0.3516,0.61038,0.91004,0.99131,1,0.995,0.98635,0.24103,1.04335,0.72756,0.000211642,0.000211642,0.000211642
91,256.833,0.33142,1.18018,0.8558,0.99131,1,0.995,0.98635,0.24103,1.04335,0.72756,0.0001962,0.0001962,0.0001962
92,259.609,0.33234,1.09238,0.80947,0.99126,1,0.995,0.9856,0.22519,1.02467,0.7267,0.000180362,0.000180362,0.000180362
93,262.297,0.31507,1.05194,0.77846,0.99126,1,0.995,0.9856,0.22519,1.02467,0.7267,0.000164128,0.000164128,0.000164128
94,264.962,0.3806,1.28149,0.79423,0.99126,1,0.995,0.9856,0.22519,1.02467,0.7267,0.000147498,0.000147498,0.000147498
95,267.6,0.32111,1.01952,0.90201,0.99126,1,0.995,0.9856,0.22519,1.02467,0.7267,0.000130472,0.000130472,0.000130472
96,270.314,0.30865,1.05113,0.87281,0.99292,1,0.995,0.995,0.22741,0.98483,0.72832,0.00011305,0.00011305,0.00011305
97,273.015,0.31993,0.96162,0.82979,0.99292,1,0.995,0.995,0.22741,0.98483,0.72832,9.5232e-05,9.5232e-05,9.5232e-05
98,275.701,0.26489,0.93839,0.87834,0.99292,1,0.995,0.995,0.22741,0.98483,0.72832,7.7018e-05,7.7018e-05,7.7018e-05
99,278.42,0.37091,0.99794,0.84881,0.99292,1,0.995,0.995,0.22741,0.98483,0.72832,5.8408e-05,5.8408e-05,5.8408e-05
100,281.189,0.27863,1.03907,0.81651,0.99355,1,0.995,0.995,0.22454,0.92622,0.72715,3.9402e-05,3.9402e-05,3.9402e-05
